Time	Left_w	Left_x	Left_y	Left_z	Right_w	Right_x	Right_y	Right_z
14:09:50.706171	0.135651	-0.977082	0.164024	0.002573	0.022192	0.834849	0.550016	0.004094
14:09:50.716657	0.135934	-0.977058	0.163941	0.001895	0.021792	0.834858	0.550025	0.003227
14:09:50.726093	0.136177	-0.977022	0.163954	0.001875	0.021477	0.834850	0.550051	0.002856
14:09:50.736150	0.136626	-0.976965	0.163920	0.001899	0.021173	0.834855	0.550058	0.002435
14:09:50.746094	0.137032	-0.976911	0.163904	0.001862	0.020909	0.834863	0.550057	0.002026
14:09:50.756100	0.137206	-0.976884	0.163918	0.001983	0.020633	0.834865	0.550065	0.001541
14:09:50.766112	0.137529	-0.976810	0.164073	0.002971	0.020955	0.834847	0.550083	-0.000007
14:09:50.776803	0.137393	-0.976789	0.164276	0.004406	0.021437	0.834844	0.550069	-0.000101
14:09:50.786130	0.136945	-0.976842	0.164332	0.004601	0.021620	0.834838	0.550071	-0.000047
14:09:50.796431	0.136720	-0.976870	0.164351	0.004608	0.022104	0.834830	0.550063	0.000262
14:09:50.806153	0.136317	-0.976928	0.164347	0.004431	0.022404	0.834834	0.550046	0.000535
14:09:50.816090	0.136114	-0.976961	0.164327	0.004188	0.022588	0.834889	0.549908	0.007142
14:09:50.826153	0.136019	-0.977011	0.164136	0.002686	0.022286	0.834895	0.549922	0.006206
14:09:50.836106	0.136247	-0.976988	0.164091	0.002352	0.021951	0.834903	0.549930	0.005576
14:09:50.846140	0.136632	-0.976960	0.163945	0.001614	0.021677	0.834901	0.549949	0.005176
14:09:50.856081	0.136850	-0.976939	0.163894	0.001250	0.021338	0.834908	0.549954	0.004814
14:09:50.866095	0.137286	-0.976893	0.163806	0.000605	0.021038	0.834914	0.549962	0.004187
14:09:50.876552	0.137251	-0.976861	0.164010	0.002122	0.020835	0.834866	0.550058	-0.000698
14:09:50.886695	0.136833	-0.976909	0.164073	0.002460	0.020868	0.834860	0.550066	-0.001199
14:09:50.896074	0.136600	-0.976928	0.164145	0.002911	0.021170	0.834863	0.550049	-0.001179
14:09:50.906293	0.136210	-0.976951	0.164308	0.004000	0.021519	0.834861	0.550038	-0.001230
14:09:50.916170	0.135997	-0.976973	0.164351	0.004236	0.021675	0.834859	0.550036	-0.001144
14:09:50.926094	0.135748	-0.977009	0.164337	0.004325	0.022071	0.834872	0.550000	0.001244
14:09:50.936134	0.135360	-0.977069	0.164313	0.004007	0.022100	0.834866	0.550008	0.001356
14:09:50.946089	0.135158	-0.977104	0.164278	0.003649	0.021748	0.834867	0.550020	0.001729
14:09:50.956139	0.135195	-0.977130	0.164116	0.002442	0.021428	0.834873	0.550022	0.001869
14:09:50.966460	0.135579	-0.977107	0.163949	0.001429	0.021080	0.834874	0.550034	0.001730
14:09:50.976185	0.135786	-0.977077	0.163956	0.001402	0.020746	0.834873	0.550049	0.001528
14:09:50.986095	0.136221	-0.977024	0.163910	0.001342	0.020394	0.834878	0.550057	0.000718
14:09:50.996153	0.136409	-0.976991	0.163947	0.001617	0.020082	0.834827	0.550135	-0.003537
14:09:51.006089	0.136782	-0.976914	0.164082	0.002630	0.020051	0.834823	0.550138	-0.004003
14:09:51.016075	0.137014	-0.976873	0.164124	0.003042	0.020378	0.834823	0.550124	-0.004387
14:09:51.026150	0.136908	-0.976852	0.164308	0.004491	0.020810	0.834826	0.550104	-0.004337
14:09:51.036085	0.136859	-0.976829	0.164451	0.005459	0.021000	0.834840	0.550077	-0.004113
14:09:51.046125	0.136675	-0.976867	0.164396	0.004945	0.021474	0.834844	0.550059	-0.003142
